"№","Код/название центра","Город","Адрес","Сайт","Телефон","E-mail","Руководитель организации","Руководитель АЦ","Область/вид аттестации","Статус","Источник"
"1","АЦСНК-1 — ООО «ГАЦ МР НАКС»","Москва","109428, г. Москва, ул. Стахановская, д. 20","https://gacmrnaks.ru/","+7 (499) 674-70-78","info@gacmrnaks.ru","Малолетков Алексей Владимирович","Прилуцкий Максим Андреевич","Методы НК: ВИК, МК, ПВК, ПВТ, РК, УК, ЭК; уровни: I, II, III; объекты: ПТО, КО, ГО, НГДО, МО, ГДО, ОХНВП, ОТОГ, СК, КСМ, ОПРС","Действует до 16.02.2027","https://naks.ru/reestr/centers/snk/detail.php?ID=3845667"
"2","АЦСНК-2 — ООО АСЦ «ИТС СвП»","Москва","117648, г. Москва, Балаклавский проспект, д. 15, помещение 16Н","https://etswp.ru/","+7 (499) 703-05-75","mail@etswp.ru","Беспалов Владимир Иванович","Будревич Дмитрий Геннадьевич","Методы НК: АЭ, ВД, ВИК, ВК, МК, ОК, ПВК, ПВТ, РК, ТК, УК, ЭК; уровни: I, II, III; объекты: ПТО, КО, ГО, НГДО, МО, ГДО, ОХНВП, СК","Действует до 01.03.2027","https://naks.ru/reestr/centers/snk/detail.php?ID=3845825"
"3","АЦСНК-3 — ООО «Южный региональный головной аттестационный центр №3 НАКС»","Краснодар","350090, г. Краснодар, проезд Репина, д. 12","https://xn--3-8sbi4c7a5b.xn--p1ai/","+7 (861) 224-57-68","yur3gac@naks.ru","Куйсоков Рустам Русланович","Куйсоков Рустам Русланович","Методы НК: ВИК, МК, ПВК, ПВТ, РК, УК; уровни: I, II, III; объекты: ПТО, КО, ГО, НГДО, МО, ГДО, ОХНВП, ОТОГ, СК, КСМ","Действует до 06.03.2027","https://naks.ru/reestr/centers/snk/detail.php?ID=3845763"
"4","АЦСНК-4 — ООО «АЦ СТС»","Уфа","450001, Республика Башкортостан, г. Уфа, ул. Пархоменко, д. 155/1","https://stsprofi-welder.ru/","+7 (347) 246-87-24","ufanaks@naks.ru","Атрощенко Валерий Владимирович","Сафиуллин Равиль Шамилевич","Методы НК: АЭ, ВД, ВИК, ВК, МК, ОК, ПВК, ПВТ, РК, ТК, УК, ЭК; уровни: I, II, III; объекты: ПТО, КО, ГО, НГДО, МО, ГДО, ОХНВП, ОТОГ, СК, КСМ, ОПРС","Действует до 29.05.2027","https://naks.ru/reestr/centers/snk/detail.php?ID=3845867"
"5","АЦСНК-5 — ООО «Центр Контроля и Сварки»","Тюмень","625046, г. Тюмень, ул. Моторостроителей, д. 14, корп. 1, офис 1","https://cks-ndt.ru/","+7 (3452) 67-99-79","cks-naks@mail.ru","Сидельников Сергей Николаевич","Сидельников Сергей Николаевич","Методы НК: АЭ, ВД, ВИК, ВК, МК, ОК, ПВК, ПВТ, РК, ТК, УК, ЭК; уровни: I, II, III; объекты: ПТО, КО, ГО, НГДО, МО, ГДО, ОХНВП, ОТОГ, СК, КСМ, ОПРС","Действует до 22.02.2027","https://naks.ru/reestr/centers/snk/detail.php?ID=3845772"
"6","АЦСНК-6 — ООО «АНТЦ сварочного оборудования и технологий»","Казань","420012, Республика Татарстан, г. Казань, ул. Волкова, д. 79, помещение 1009","https://antckazan.ru/","+7 (843) 236-43-51","oalnk-antc@mail.ru","Уварова Стэлла Германовна","Уварова Стэлла Германовна","Методы НК: АЭ, ВД, ВИК, ВК, МК, ПВК, ПВТ, РК, ТК, УК, ЭК; уровни: I, II; объекты: ПТО, КО, ГО, НГДО, МО, ОХНВП, ОТОГ, СК, КСМ","Действует до 20.02.2027","https://naks.ru/reestr/centers/snk/detail.php?ID=3845785"
"7","АЦСНК-7 — ООО «ЦПС «Сварка и Контроль»","Челябинск","454028, г. Челябинск, ул. Днепропетровская, д. 23","https://svarka74.ru/","+7 (351) 729-94-20","centr@svarka74.ru","Шахматов Денис Михайлович","Волкова Екатерина Дмитриевна","Методы НК: ВИК, ВК, МК, ПВК, ПВТ, РК, УК; уровни: I, II, III; объекты: ПТО, КО, ГО, НГДО, МО, ГДО, ОХНВП, ОТОГ, СК, КСМ, ОПРС","Действует до 15.03.2027","https://naks.ru/reestr/centers/snk/detail.php?ID=3845878"
"8","АЦСНК-8 — ООО «НАКС-ПФО»","Оренбург","460048, г. Оренбург, ул. Транспортная, зд. 2Г, офис 410","https://nakspfo.ru/","+7 (3532) 30-60-09","orenburg@naks.ru","Ракк Виктор Александрович","Ракк Виктор Александрович","Методы НК: ВИК, МК, ПВК, РК, УК; уровни: I, II; объекты: ПТО, КО, ГО, НГДО, МО, ГДО, ОХНВП, ОТОГ, СК, КСМ","Действует до 21.02.2027","https://naks.ru/reestr/centers/snk/detail.php?ID=3856477"
"9","АЦСНК-9 — ООО «СЗ АНТЦ Энергомонтаж»","Санкт-Петербург","198184, г. Санкт-Петербург, Канонерский остров, д. 28, литер А","https://www.antcszem.ru/","+7 (812) 245-69-64","mail@antcszem.ru","Васильев Александр Юрьевич","Спирков Анатолий Борисович","Методы НК: АЭ, ВД, ВИК, ВК, МК, ОК, ПВК, ПВТ, РК, ТК, УК, ЭК; уровни: I, II, III; объекты: ПТО, КО, ГО, НГДО, МО, ГДО, ОХНВП, ОТОГ, СК, КСМ, ОПРС","Действует до 29.03.2027","https://naks.ru/reestr/centers/snk/detail.php?ID=3856479"
"10","АЦСНК-10 — ООО «НВЦ «Сварка»","Волгоград","400002, г. Волгоград, ул. Гвоздкова, д. 1Б","https://volga-weld.ru/","+7 (8442) 73-91-56","volga-weld@yandex.ru","Панков Сергей Викторович","Панков Сергей Викторович","Методы НК: ВИК, МК, ПВК, РК, УК; уровни: I, II; объекты: ПТО, КО, ГО, НГДО, МО, ОХНВП, СК","Действует до 22.03.2027","https://naks.ru/reestr/centers/snk/detail.php?ID=3856483"
